Team,Matches,Wins,Draws,Losses,Goals_For,Goals_Against,Goal_Difference,Avg_Goals_For,Avg_Goals_Against,Points_Form,Win_Rate,Goals_For_per_Game,Goals_Against_per_Game,Attack_Index,Defense_Index,Form_Index,Power_Score
Czechia,10,6,2,2,20.0,9.0,11.0,2.0,0.9,20,0.6,2.0,0.9,2.0,1.1111111111111112,0.6666666666666666,0.8911111111111112
Korea Republic,10,5,3,2,17.0,11.0,6.0,1.7,1.1,18,0.5,1.7,1.1,1.7,0.9090909090909091,0.6,0.765909090909091
South Africa,10,4,4,2,15.0,9.0,6.0,1.5,0.9,16,0.4,1.5,0.9,1.5,1.1111111111111112,0.5333333333333333,0.6961111111111111
Mexico,10,2,6,2,8.0,11.0,-3.0,0.8,1.1,12,0.2,0.8,1.1,0.8,0.9090909090909091,0.4,0.4509090909090909
